DateAdded,RiskCopy,CountyReporting,TravelLabel,TravelStatus,DateAddedCopy,Risk,BigIslandCnt,OahuCnt,KauaiCnt,MauiCnt,Count,TotNumber
3/8/2021,Community-Associated,Hawaii,No Travel History,No Travel History,3/8/2021,Community-Associated,5,0,0,0,5,5
3/11/2021,Community-Associated,Hawaii,No Travel History,No Travel History,3/11/2021,Community-Associated,5,0,0,0,5,5
3/13/2021,Community-Associated,Hawaii,No Travel History,No Travel History,3/13/2021,Community-Associated,5,0,0,0,5,5
3/15/2021,Community-Associated,Hawaii,No Travel History,No Travel History,3/15/2021,Community-Associated,5,0,0,0,5,5
3/19/2021,Community-Associated,Hawaii,No Travel History,No Travel History,3/19/2021,Community-Associated,5,0,0,0,5,5
3/28/2021,Community-Associated,Hawaii,No Travel History,No Travel History,3/28/2021,Community-Associated,5,0,0,0,5,5
4/7/2021,Community-Associated,Hawaii,No Travel History,No Travel History,4/7/2021,Community-Associated,5,0,0,0,5,5
4/25/2021,Community-Associated,Hawaii,No Travel History,No Travel History,4/25/2021,Community-Associated,5,0,0,0,5,5
4/28/2021,Community-Associated,Hawaii,No Travel History,No Travel History,4/28/2021,Community-Associated,5,0,0,0,5,5
6/12/2021,Community-Associated,Hawaii,No Travel History,No Travel History,6/12/2021,Community-Associated,5,0,0,0,5,5
6/16/2021,Community-Associated,Hawaii,No Travel History,No Travel History,6/16/2021,Community-Associated,5,0,0,0,5,5
6/22/2021,Community-Associated,Hawaii,No Travel History,No Travel History,6/22/2021,Community-Associated,5,0,0,0,5,5
6/29/2021,Community-Associated,Hawaii,No Travel History,No Travel History,6/29/2021,Community-Associated,5,0,0,0,5,5
7/3/2021,Community-Associated,Hawaii,No Travel History,No Travel History,7/3/2021,Community-Associated,5,0,0,0,5,5
10/17/2021,Community-Associated,Hawaii,No Travel History,No Travel History,10/17/2021,Community-Associated,5,0,0,0,5,5
10/22/2021,Community-Associated,Hawaii,No Travel History,No Travel History,10/22/2021,Community-Associated,5,0,0,0,5,5
11/24/2020,Community-Associated,Hawaii,No Travel History,No Travel History,11/24/2020,Community-Associated,6,0,0,0,6,6
12/5/2020,Community-Associated,Hawaii,No Travel History,No Travel History,12/5/2020,Community-Associated,6,0,0,0,6,6
12/11/2020,Community-Associated,Hawaii,No Travel History,No Travel History,12/11/2020,Community-Associated,6,0,0,0,6,6
12/31/2020,Community-Associated,Hawaii,No Travel History,No Travel History,12/31/2020,Community-Associated,6,0,0,0,6,6
1/14/2021,Community-Associated,Hawaii,No Travel History,No Travel History,1/14/2021,Community-Associated,6,0,0,0,6,6
1/15/2021,Community-Associated,Hawaii,No Travel History,No Travel History,1/15/2021,Community-Associated,6,0,0,0,6,6
1/17/2021,Community-Associated,Hawaii,No Travel History,No Travel History,1/17/2021,Community-Associated,6,0,0,0,6,6
1/26/2021,Community-Associated,Hawaii,No Travel History,No Travel History,1/26/2021,Community-Associated,6,0,0,0,6,6
1/30/2021,Community-Associated,Hawaii,No Travel History,No Travel History,1/30/2021,Community-Associated,6,0,0,0,6,6
3/16/2021,Community-Associated,Hawaii,No Travel History,No Travel History,3/16/2021,Community-Associated,6,0,0,0,6,6
3/20/2021,Community-Associated,Hawaii,No Travel History,No Travel History,3/20/2021,Community-Associated,6,0,0,0,6,6
4/5/2021,Community-Associated,Hawaii,No Travel History,No Travel History,4/5/2021,Community-Associated,6,0,0,0,6,6
4/9/2021,Community-Associated,Hawaii,No Travel History,No Travel History,4/9/2021,Community-Associated,6,0,0,0,6,6
4/11/2021,Community-Associated,Hawaii,No Travel History,No Travel History,4/11/2021,Community-Associated,6,0,0,0,6,6
4/19/2021,Community-Associated,Hawaii,No Travel History,No Travel History,4/19/2021,Community-Associated,6,0,0,0,6,6
4/23/2021,Community-Associated,Hawaii,No Travel History,No Travel History,4/23/2021,Community-Associated,6,0,0,0,6,6
5/6/2021,Community-Associated,Hawaii,No Travel History,No Travel History,5/6/2021,Community-Associated,6,0,0,0,6,6
5/7/2021,Community-Associated,Hawaii,No Travel History,No Travel History,5/7/2021,Community-Associated,6,0,0,0,6,6
5/15/2021,Community-Associated,Hawaii,No Travel History,No Travel History,5/15/2021,Community-Associated,6,0,0,0,6,6
5/21/2021,Community-Associated,Hawaii,No Travel History,No Travel History,5/21/2021,Community-Associated,6,0,0,0,6,6
5/25/2021,Community-Associated,Hawaii,No Travel History,No Travel History,5/25/2021,Community-Associated,6,0,0,0,6,6
5/26/2021,Community-Associated,Hawaii,No Travel History,No Travel History,5/26/2021,Community-Associated,6,0,0,0,6,6
6/3/2021,Community-Associated,Hawaii,No Travel History,No Travel History,6/3/2021,Community-Associated,6,0,0,0,6,6
6/30/2021,Community-Associated,Hawaii,No Travel History,No Travel History,6/30/2021,Community-Associated,6,0,0,0,6,6
7/12/2021,Community-Associated,Hawaii,No Travel History,No Travel History,7/12/2021,Community-Associated,6,0,0,0,6,6
10/3/2021,Community-Associated,Hawaii,No Travel History,No Travel History,10/3/2021,Community-Associated,6,0,0,0,6,6
11/26/2020,Community-Associated,Hawaii,No Travel History,No Travel History,11/26/2020,Community-Associated,7,0,0,0,7,7
12/3/2020,Community-Associated,Hawaii,No Travel History,No Travel History,12/3/2020,Community-Associated,7,0,0,0,7,7
1/8/2021,Community-Associated,Hawaii,No Travel History,No Travel History,1/8/2021,Community-Associated,7,0,0,0,7,7
1/19/2021,Community-Associated,Hawaii,No Travel History,No Travel History,1/19/2021,Community-Associated,7,0,0,0,7,7
3/9/2021,Community-Associated,Hawaii,No Travel History,No Travel History,3/9/2021,Community-Associated,7,0,0,0,7,7
3/17/2021,Community-Associated,Hawaii,No Travel History,No Travel History,3/17/2021,Community-Associated,7,0,0,0,7,7
3/27/2021,Community-Associated,Hawaii,No Travel History,No Travel History,3/27/2021,Community-Associated,7,0,0,0,7,7
3/30/2021,Community-Associated,Hawaii,No Travel History,No Travel History,3/30/2021,Community-Associated,7,0,0,0,7,7
4/6/2021,Community-Associated,Hawaii,No Travel History,No Travel History,4/6/2021,Community-Associated,7,0,0,0,7,7
4/16/2021,Community-Associated,Hawaii,No Travel History,No Travel History,4/16/2021,Community-Associated,7,0,0,0,7,7
4/20/2021,Community-Associated,Hawaii,No Travel History,No Travel History,4/20/2021,Community-Associated,7,0,0,0,7,7
5/4/2021,Community-Associated,Hawaii,No Travel History,No Travel History,5/4/2021,Community-Associated,7,0,0,0,7,7
5/24/2021,Community-Associated,Hawaii,No Travel History,No Travel History,5/24/2021,Community-Associated,7,0,0,0,7,7
6/24/2021,Community-Associated,Hawaii,No Travel History,No Travel History,6/24/2021,Community-Associated,7,0,0,0,7,7
7/2/2021,Community-Associated,Hawaii,No Travel History,No Travel History,7/2/2021,Community-Associated,7,0,0,0,7,7
11/19/2020,Community-Associated,Hawaii,No Travel History,No Travel History,11/19/2020,Community-Associated,8,0,0,0,8,8
11/21/2020,Community-Associated,Hawaii,No Travel History,No Travel History,11/21/2020,Community-Associated,8,0,0,0,8,8
12/2/2020,Community-Associated,Hawaii,No Travel History,No Travel History,12/2/2020,Community-Associated,8,0,0,0,8,8
12/7/2020,Community-Associated,Hawaii,No Travel History,No Travel History,12/7/2020,Community-Associated,8,0,0,0,8,8
12/13/2020,Community-Associated,Hawaii,No Travel History,No Travel History,12/13/2020,Community-Associated,8,0,0,0,8,8
1/29/2021,Community-Associated,Hawaii,No Travel History,No Travel History,1/29/2021,Community-Associated,8,0,0,0,8,8
3/5/2021,Community-Associated,Hawaii,No Travel History,No Travel History,3/5/2021,Community-Associated,8,0,0,0,8,8
3/14/2021,Community-Associated,Hawaii,No Travel History,No Travel History,3/14/2021,Community-Associated,8,0,0,0,8,8
3/18/2021,Community-Associated,Hawaii,No Travel History,No Travel History,3/18/2021,Community-Associated,8,0,0,0,8,8
4/1/2021,Community-Associated,Hawaii,No Travel History,No Travel History,4/1/2021,Community-Associated,8,0,0,0,8,8
6/28/2021,Community-Associated,Hawaii,No Travel History,No Travel History,6/28/2021,Community-Associated,8,0,0,0,8,8
7/7/2021,Community-Associated,Hawaii,No Travel History,No Travel History,7/7/2021,Community-Associated,8,0,0,0,8,8
12/19/2020,Community-Associated,Hawaii,No Travel History,No Travel History,12/19/2020,Community-Associated,9,0,0,0,9,9
12/21/2020,Community-Associated,Hawaii,No Travel History,No Travel History,12/21/2020,Community-Associated,9,0,0,0,9,9
12/22/2020,Community-Associated,Hawaii,No Travel History,No Travel History,12/22/2020,Community-Associated,9,0,0,0,9,9
1/9/2021,Community-Associated,Hawaii,No Travel History,No Travel History,1/9/2021,Community-Associated,9,0,0,0,9,9
1/12/2021,Community-Associated,Hawaii,No Travel History,No Travel History,1/12/2021,Community-Associated,9,0,0,0,9,9
1/28/2021,Community-Associated,Hawaii,No Travel History,No Travel History,1/28/2021,Community-Associated,9,0,0,0,9,9
6/13/2021,Community-Associated,Hawaii,No Travel History,No Travel History,6/13/2021,Community-Associated,9,0,0,0,9,9
6/25/2021,Community-Associated,Hawaii,No Travel History,No Travel History,6/25/2021,Community-Associated,9,0,0,0,9,9
7/5/2021,Community-Associated,Hawaii,No Travel History,No Travel History,7/5/2021,Community-Associated,9,0,0,0,9,9
7/19/2021,Community-Associated,Hawaii,No Travel History,No Travel History,7/19/2021,Community-Associated,9,0,0,0,9,9
10/9/2021,Community-Associated,Hawaii,No Travel History,No Travel History,10/9/2021,Community-Associated,9,0,0,0,9,9
12/8/2020,Community-Associated,Hawaii,No Travel History,No Travel History,12/8/2020,Community-Associated,10,0,0,0,10,10
12/10/2020,Community-Associated,Hawaii,No Travel History,No Travel History,12/10/2020,Community-Associated,10,0,0,0,10,10
12/15/2020,Community-Associated,Hawaii,No Travel History,No Travel History,12/15/2020,Community-Associated,10,0,0,0,10,10
4/3/2021,Community-Associated,Hawaii,No Travel History,No Travel History,4/3/2021,Community-Associated,10,0,0,0,10,10
5/27/2021,Community-Associated,Hawaii,No Travel History,No Travel History,5/27/2021,Community-Associated,10,0,0,0,10,10
12/18/2020,Community-Associated,Hawaii,No Travel History,No Travel History,12/18/2020,Community-Associated,11,0,0,0,11,11
3/23/2021,Community-Associated,Hawaii,No Travel History,No Travel History,3/23/2021,Community-Associated,11,0,0,0,11,11
3/25/2021,Community-Associated,Hawaii,No Travel History,No Travel History,3/25/2021,Community-Associated,11,0,0,0,11,11
4/8/2021,Community-Associated,Hawaii,No Travel History,No Travel History,4/8/2021,Community-Associated,11,0,0,0,11,11
4/15/2021,Community-Associated,Hawaii,No Travel History,No Travel History,4/15/2021,Community-Associated,11,0,0,0,11,11
6/21/2021,Community-Associated,Hawaii,No Travel History,No Travel History,6/21/2021,Community-Associated,11,0,0,0,11,11
10/19/2021,Community-Associated,Hawaii,No Travel History,No Travel History,10/19/2021,Community-Associated,11,0,0,0,11,11
11/20/2020,Community-Associated,Hawaii,No Travel History,No Travel History,11/20/2020,Community-Associated,12,0,0,0,12,12
1/5/2021,Community-Associated,Hawaii,No Travel History,No Travel History,1/5/2021,Community-Associated,12,0,0,0,12,12
4/2/2021,Community-Associated,Hawaii,No Travel History,No Travel History,4/2/2021,Community-Associated,12,0,0,0,12,12
6/18/2021,Community-Associated,Hawaii,No Travel History,No Travel History,6/18/2021,Community-Associated,12,0,0,0,12,12
7/13/2021,Community-Associated,Hawaii,No Travel History,No Travel History,7/13/2021,Community-Associated,12,0,0,0,12,12
3/24/2021,Community-Associated,Hawaii,No Travel History,No Travel History,3/24/2021,Community-Associated,13,0,0,0,13,13
3/31/2021,Community-Associated,Hawaii,No Travel History,No Travel History,3/31/2021,Community-Associated,13,0,0,0,13,13
4/12/2021,Community-Associated,Hawaii,No Travel History,No Travel History,4/12/2021,Community-Associated,13,0,0,0,13,13
7/16/2021,Community-Associated,Hawaii,No Travel History,No Travel History,7/16/2021,Community-Associated,13,0,0,0,13,13
7/18/2021,Community-Associated,Hawaii,No Travel History,No Travel History,7/18/2021,Community-Associated,13,0,0,0,13,13
7/26/2021,Community-Associated,Hawaii,No Travel History,No Travel History,7/26/2021,Community-Associated,13,0,0,0,13,13
3/26/2021,Community-Associated,Hawaii,No Travel History,No Travel History,3/26/2021,Community-Associated,14,0,0,0,14,14
3/29/2021,Community-Associated,Hawaii,No Travel History,No Travel History,3/29/2021,Community-Associated,14,0,0,0,14,14
4/13/2021,Community-Associated,Hawaii,No Travel History,No Travel History,4/13/2021,Community-Associated,14,0,0,0,14,14
7/9/2021,Community-Associated,Hawaii,No Travel History,No Travel History,7/9/2021,Community-Associated,14,0,0,0,14,14
12/12/2020,Community-Associated,Hawaii,No Travel History,No Travel History,12/12/2020,Community-Associated,15,0,0,0,15,15
3/10/2021,Community-Associated,Hawaii,No Travel History,No Travel History,3/10/2021,Community-Associated,15,0,0,0,15,15
7/10/2021,Community-Associated,Hawaii,No Travel History,No Travel History,7/10/2021,Community-Associated,15,0,0,0,15,15
10/16/2021,Community-Associated,Hawaii,No Travel History,No Travel History,10/16/2021,Community-Associated,15,0,0,0,15,15
12/17/2020,Community-Associated,Hawaii,No Travel History,No Travel History,12/17/2020,Community-Associated,16,0,0,0,16,16
