Date ,Days,Total,,,,,,,,
2-Jan-20,Thu,"38,885",,,,,,,,
3-Jan-20,Fri,"37,319",,,,,,,,
4-Jan-20,Sat,"37,804",,,,,,,,
5-Jan-20,Sun,"37,915",,,,,,,,
6-Jan-20,Mon,"33,636",,,,,,,,
7-Jan-20,Tue,"29,379",,,,,,,,
8-Jan-20,Wed,"29,898",,,,,,,,
9-Jan-20,Thu,"31,177",,,,,,,,
10-Jan-20,Fri,"30,567",,,,,,,,
11-Jan-20,Sat,"31,205",,,,,,,,
12-Jan-20,Sun,"28,731",,,,,,,,
13-Jan-20,Mon,"27,479",,,,,,,,
14-Jan-20,Tue,"25,885",,,,,,,,
15-Jan-20,Wed,"29,293",,,,,,,,
16-Jan-20,Thu,"31,542",,,,,,,,
17-Jan-20,Fri,"34,009",,,,,,,,
18-Jan-20,Sat,"33,636",,,,,,,,
19-Jan-20,Sun,"30,295",,,,,,,,
20-Jan-20,Mon,"28,220",,,,,,,,
21-Jan-20,Tue,"26,159",,,,,,,,
22-Jan-20,Wed,"27,153",,,,,,,,
23-Jan-20,Thu,"29,227",,,,,,,,
24-Jan-20,Fri,"27,742",,,,,,,,
25-Jan-20,Sat,"28,554",,,,,,,,
26-Jan-20,Sun,"26,593",,,,,,,,
27-Jan-20,Mon,"24,301",,,,,,,,
28-Jan-20,Tue,"23,375",,,,,,,,
29-Jan-20,Wed,"24,954",,,,,,,,
30-Jan-20,Thu,"27,909",,,,,,,,
31-Jan-20,Fri,"28,511",,,,,,,,
1-Feb-20,Sat,"32,919",,,,,,,,
2-Feb-20,Sun,"27,057",,,,,,,,
3-Feb-20,Mon,"26,642",,,,,,,,
4-Feb-20,Tue,"26,675",,,,,,,,
5-Feb-20,Wed,"27,905",,,,,,,,
6-Feb-20,Thu,"28,648",,,,,,,,
7-Feb-20,Fri,"29,852",,,,,,,,
8-Feb-20,Sat,"32,636",,,,,,,,
9-Feb-20,Sun,"27,784",,,,,,,,
10-Feb-20,Mon,"27,456",,,,,,,,
11-Feb-20,Tue,"28,136",,,,,,,,
12-Feb-20,Wed,"29,781",,,,,,,,
13-Feb-20,Thu,"32,533",,,,,,,,
14-Feb-20,Fri,"35,312",,,,,,,,
15-Feb-20,Sat,"36,887",,,,,,,,
16-Feb-20,Sun,"33,778",,,,,,,,
17-Feb-20,Mon,"31,266",,,,,,,,
18-Feb-20,Tue,"29,527",,,,,,,,
19-Feb-20,Wed,"29,388",,,,,,,,
20-Feb-20,Thu,"30,140",,,,,,,,
21-Feb-20,Fri,"29,246",,,,,,,,
22-Feb-20,Sat,"31,581",,,,,,,,
23-Feb-20,Sun,"27,903",,,,,,,,
24-Feb-20,Mon,"27,436",,,,,,,,
25-Feb-20,Tue,"25,230",,,,,,,,
26-Feb-20,Wed,"26,061",,,,,,,,
27-Feb-20,Thu,"28,586",,,,,,,,
28-Feb-20,Fri,"26,601",,,,,,,,
29-Feb-20,Sat,"30,737",,,,,,,,
1-Mar-20,Sun,"28,976",,,,,,,,
2-Mar-20,Mon,"24,512",,,,,,,,
3-Mar-20,Tue,"22,799",,,,,,,,
4-Mar-20,Wed,"24,425",,,,,,,,
5-Mar-20,Thu,"28,729",,,,,,,,
6-Mar-20,Fri,"28,980",,,,,,,,
7-Mar-20,Sat,"31,050",,,,,,,,
8-Mar-20,Sun,"26,388",,,,,,,,
9-Mar-20,Mon,"23,730",,,,,,,,
10-Mar-20,Tue,"22,270",,,,,,,,
11-Mar-20,Wed,"23,790",,,,,,,,
12-Mar-20,Thu,"28,674",,,,,,,,
13-Mar-20,Fri,"28,412",,,,,,,,
14-Mar-20,Sat,"28,288",,,,,,,,
15-Mar-20,Sun,"23,882",,,,,,,,
16-Mar-20,Mon,"20,410",,,,,,,,
17-Mar-20,Tue,"19,181",,,,,,,,
18-Mar-20,Wed,"14,042",,,,,,,,
19-Mar-20,Thu,"10,571",,,,,,,,
20-Mar-20,Fri,"8,293",,,,,,,,
21-Mar-20,Sat,"6,478",,,,,,,,
22-Mar-20,Sun,"5,514",,,,,,,,
23-Mar-20,Mon,"3,880",,,,,,,,
24-Mar-20,Tue,"3,691",,,,,,,,
25-Mar-20,Wed,"3,158",,,,,,,,
26-Mar-20,Thu,"1,033",,,,,,,,
27-Mar-20,Fri,985,,,,,,,,
28-Mar-20,Sat,808,,,,,,,,
29-Mar-20,Sun,547,,,,,,,,
30-Mar-20,Mon,593,,,,,,,,
31-Mar-20,Tue,301,,,,,,,,
1-Apr-20,Wed,453,,,,,,,,
2-Apr-20,Thu,249,,,,,,,,
3-Apr-20,Fri,404,,,,,,,,
4-Apr-20,Sat,395,,,,,,,,
5-Apr-20,Sun,359,,,,,,,,
6-Apr-20,Mon,333,,,,,,,,
7-Apr-20,Tue,424,,,,,,,,
8-Apr-20,Wed,417,,,,,,,,
9-Apr-20,Thu,543,,,,,,,,
10-Apr-20,Fri,330,,,,,,,,
11-Apr-20,Sat,271,,,,,,,,
12-Apr-20,Sun,319,,,,,,,,
13-Apr-20,Mon,609,,,,,,,,
14-Apr-20,Tue,438,,,,,,,,
15-Apr-20,Wed,604,,,,,,,,
16-Apr-20,Thu,330,,,,,,,,
17-Apr-20,Fri,342,,,,,,,,
18-Apr-20,Sat,373,,,,,,,,
19-Apr-20,Sun,336,,,,,,,,
20-Apr-20,Mon,313,,,,,,,,
21-Apr-20,Tue,360,,,,,,,,
22-Apr-20,Wed,318,,,,,,,,
23-Apr-20,Thu,368,,,,,,,,
24-Apr-20,Fri,330,,,,,,,,
25-Apr-20,Sat,386,,,,,,,,
26-Apr-20,Sun,401,,,,,,,,
27-Apr-20,Mon,363,,,,,,,,
28-Apr-20,Tue,357,,,,,,,,
29-Apr-20,Wed,460,,,,,,,,
30-Apr-20,Thu,451,,,,,,,,
1-May-20,Fri,511,,,,,,,,
2-May-20,Sat,637,,,,,,,,
3-May-20,Sun,557,,,,,,,,
4-May-20,Mon,644,,,,,,,,
5-May-20,Tue,581,,,,,,,,
6-May-20,Wed,478,,,,,,,,
7-May-20,Thu,579,,,,,,,,
8-May-20,Fri,615,,,,,,,,
9-May-20,Sat,669,,,,,,,,
10-May-20,Sun,658,,,,,,,,
11-May-20,Mon,698,,,,,,,,
12-May-20,Tue,746,,,,,,,,
13-May-20,Wed,651,,,,,,,,
14-May-20,Thu,769,,,,,,,,
15-May-20,Fri,844,,,,,,,,
16-May-20,Sat,833,,,,,,,,
17-May-20,Sun,899,,,,,,,,
18-May-20,Mon,"1,060",,,,,,,,
19-May-20,Tue,916,,,,,,,,
20-May-20,Wed,"1,042",,,,,,,,
21-May-20,Thu,965,,,,,,,,
22-May-20,Fri,753,,,,,,,,
23-May-20,Sat,912,,,,,,,,
24-May-20,Sun,838,,,,,,,,
25-May-20,Mon,870,,,,,,,,
26-May-20,Tue,763,,,,,,,,
27-May-20,Wed,873,,,,,,,,
28-May-20,Thu,899,,,,,,,,
29-May-20,Fri,928,,,,,,,,
30-May-20,Sat,"1,098",,,,,,,,
31-May-20,Sun,"1,228",,,,,,,,
1-Jun-20,Mon,"1,408",,,,,,,,
2-Jun-20,Tue,"1,377",,,,,,,,
3-Jun-20,Wed,"1,301",,,,,,,,
4-Jun-20,Thu,"1,444",,,,,,,,
5-Jun-20,Fri,"1,270",,,,,,,,
6-Jun-20,Sat,"1,479",,,,,,,,
7-Jun-20,Sun,"1,636",,,,,,,,
8-Jun-20,Mon,"1,580",,,,,,,,
9-Jun-20,Tue,"1,382",,,,,,,,
10-Jun-20,Wed,"1,284",,,,,,,,
11-Jun-20,Thu,"1,496",,,,,,,,
12-Jun-20,Fri,"1,126",,,,,,,,
13-Jun-20,Sat,"1,900",,,,,,,,
14-Jun-20,Sun,"1,648",,,,,,,,
15-Jun-20,Mon,"1,575",,,,,,,,
16-Jun-20,Tue,"1,474",,,,,,,,
17-Jun-20,Wed,"1,258",,,,,,,,
18-Jun-20,Thu,"1,575",,,,,,,,
19-Jun-20,Fri,"1,328",,,,,,,,
20-Jun-20,Sat,"1,475",,,,,,,,
21-Jun-20,Sun,"1,340",,,,,,,,
22-Jun-20,Mon,"1,534",,,,,,,,
23-Jun-20,Tue,"1,340",,,,,,,,
24-Jun-20,Wed,"1,365",,,,,,,,
25-Jun-20,Thu,"1,513",,,,,,,,
26-Jun-20,Fri,"1,159",,,,,,,,
27-Jun-20,Sat,"1,717",,,,,,,,
28-Jun-20,Sun,"1,432",,,,,,,,
29-Jun-20,Mon,"1,517",,,,,,,,
30-Jun-20,Tue,"1,654",,,,,,,,
1-Jul-20,Wed,"1,982",,,,,,,,
2-Jul-20,Thu,"2,347",,,,,,,,
3-Jul-20,Fri,"2,129",,,,,,,,
4-Jul-20,Sat,"1,801",,,,,,,,
5-Jul-20,Sun,"1,780",,,,,,,,
6-Jul-20,Mon,"2,402",,,,,,,,
7-Jul-20,Tue,"2,395",,,,,,,,
8-Jul-20,Wed,"2,182",,,,,,,,
9-Jul-20,Thu,"2,538",,,,,,,,
10-Jul-20,Fri,"2,098",,,,,,,,
11-Jul-20,Sat,"2,047",,,,,,,,
12-Jul-20,Sun,"1,943",,,,,,,,
13-Jul-20,Mon,"2,310",,,,,,,,
14-Jul-20,Tue,"2,050",,,,,,,,
15-Jul-20,Wed,"2,079",,,,,,,,
16-Jul-20,Thu,"2,318",,,,,,,,
17-Jul-20,Fri,"1,686",,,,,,,,
18-Jul-20,Sat,"1,838",,,,,,,,
19-Jul-20,Sun,"1,872",,,,,,,,
20-Jul-20,Mon,"2,325",,,,,,,,
21-Jul-20,Tue,"1,972",,,,,,,,
22-Jul-20,Wed,"2,071",,,,,,,,
23-Jul-20,Thu,"1,989",,,,,,,,
