"","DateAdded","RiskCopy","CountyReporting","TravelLabel","TravelStatus","DateAddedCopy","Risk","BigIslandCnt","OahuCnt","KauaiCnt","MauiCnt","Count","TotNumber"
"64",2020-03-27,"Travel-Associated (Non-Resident)","Kauai","Travel History","Travel History",2020-03-27,"Travel-Associated (Non-Resident)",0,0,1,0,1,1
"65",2020-03-27,"Travel-Associated (Resident)","Kauai","Travel History","Travel History",2020-03-27,"Travel-Associated (Resident)",0,0,5,0,5,5
"66",2020-03-27,"Community-Associated","Maui","No Travel History","No Travel History",2020-03-27,"Community-Associated",0,0,0,1,1,1
"67",2020-03-27,"Travel-Associated (Resident)","Maui","Travel History","Travel History",2020-03-27,"Travel-Associated (Resident)",0,0,0,1,1,1
"68",2020-03-28,"Travel-Associated (Non-Resident)","Hawaii","Travel History","Travel History",2020-03-28,"Travel-Associated (Non-Resident)",1,0,0,0,1,1
"69",2020-03-28,"Travel-Associated (Resident)","Hawaii","Travel History","Travel History",2020-03-28,"Travel-Associated (Resident)",4,0,0,0,4,4
"70",2020-03-28,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-03-28,"Community-Associated",0,7,0,0,7,7
"71",2020-03-28,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-03-28,"Travel-Associated (Resident)",0,10,0,0,10,10
"72",2020-03-28,"Travel-Associated (Resident)","Kauai","Travel History","Travel History",2020-03-28,"Travel-Associated (Resident)",0,0,1,0,1,1
"73",2020-03-28,"Travel-Associated (Non-Resident)","Maui","Travel History","Travel History",2020-03-28,"Travel-Associated (Non-Resident)",0,0,0,1,1,1
"74",2020-03-28,"Travel-Associated (Resident)","Maui","Travel History","Travel History",2020-03-28,"Travel-Associated (Resident)",0,0,0,5,5,5
"75",2020-03-29,"Travel-Associated (Resident)","Hawaii","Travel History","Travel History",2020-03-29,"Travel-Associated (Resident)",1,0,0,0,1,1
"76",2020-03-29,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-03-29,"Community-Associated",0,9,0,0,9,9
"77",2020-03-29,"Travel-Associated (Non-Resident)","Honolulu","Travel History","Travel History",2020-03-29,"Travel-Associated (Non-Resident)",0,1,0,0,1,1
"78",2020-03-29,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-03-29,"Travel-Associated (Resident)",0,15,0,0,15,15
"79",2020-03-29,"Community-Associated","Maui","No Travel History","No Travel History",2020-03-29,"Community-Associated",0,0,0,2,2,2
"80",2020-03-29,"Travel-Associated (Resident)","Maui","Travel History","Travel History",2020-03-29,"Travel-Associated (Resident)",0,0,0,3,3,3
"81",2020-03-30,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-03-30,"Community-Associated",0,7,0,0,7,7
"82",2020-03-30,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-03-30,"Travel-Associated (Resident)",0,13,0,0,13,13
"83",2020-03-30,"Community-Associated","Maui","No Travel History","No Travel History",2020-03-30,"Community-Associated",0,0,0,1,1,1
"84",2020-03-30,"Travel-Associated (Resident)","Maui","Travel History","Travel History",2020-03-30,"Travel-Associated (Resident)",0,0,0,1,1,1
"85",2020-03-31,"Travel-Associated (Non-Resident)","Hawaii","Travel History","Travel History",2020-03-31,"Travel-Associated (Non-Resident)",1,0,0,0,1,1
"86",2020-03-31,"Travel-Associated (Resident)","Hawaii","Travel History","Travel History",2020-03-31,"Travel-Associated (Resident)",2,0,0,0,2,2
"87",2020-03-31,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-03-31,"Community-Associated",0,5,0,0,5,5
"88",2020-03-31,"Travel-Associated (Non-Resident)","Honolulu","Travel History","Travel History",2020-03-31,"Travel-Associated (Non-Resident)",0,1,0,0,1,1
"89",2020-03-31,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-03-31,"Travel-Associated (Resident)",0,21,0,0,21,21
"90",2020-03-31,"Community-Associated","Maui","No Travel History","No Travel History",2020-03-31,"Community-Associated",0,0,0,2,2,2
"91",2020-04-01,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-04-01,"Community-Associated",0,14,0,0,14,14
"92",2020-04-01,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-04-01,"Travel-Associated (Resident)",0,11,0,0,11,11
"93",2020-04-01,"Travel-Associated (Resident)","Kauai","Travel History","Travel History",2020-04-01,"Travel-Associated (Resident)",0,0,1,0,1,1
"94",2020-04-01,"Community-Associated","Maui","No Travel History","No Travel History",2020-04-01,"Community-Associated",0,0,0,1,1,1
"95",2020-04-01,"Travel-Associated (Non-Resident)","Maui","Travel History","Travel History",2020-04-01,"Travel-Associated (Non-Resident)",0,0,0,1,1,1
"96",2020-04-02,"Community-Associated","Hawaii","No Travel History","No Travel History",2020-04-02,"Community-Associated",2,0,0,0,2,2
"97",2020-04-02,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-04-02,"Community-Associated",0,16,0,0,16,16
"98",2020-04-02,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-04-02,"Travel-Associated (Resident)",0,12,0,0,12,12
"99",2020-04-02,"Travel-Associated (Resident)","Kauai","Travel History","Travel History",2020-04-02,"Travel-Associated (Resident)",0,0,2,0,2,2
"100",2020-04-02,"Community-Associated","Maui","No Travel History","No Travel History",2020-04-02,"Community-Associated",0,0,0,2,2,2
"101",2020-04-02,"Travel-Associated (Resident)","Maui","Travel History","Travel History",2020-04-02,"Travel-Associated (Resident)",0,0,0,5,5,5
"102",2020-04-03,"Community-Associated","Hawaii","No Travel History","No Travel History",2020-04-03,"Community-Associated",1,0,0,0,1,1
"103",2020-04-03,"Travel-Associated (Resident)","Hawaii","Travel History","Travel History",2020-04-03,"Travel-Associated (Resident)",1,0,0,0,1,1
"104",2020-04-03,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-04-03,"Community-Associated",0,14,0,0,14,14
"105",2020-04-03,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-04-03,"Travel-Associated (Resident)",0,4,0,0,4,4
"106",2020-04-03,"Community-Associated","Maui","No Travel History","No Travel History",2020-04-03,"Community-Associated",0,0,0,1,1,1
"107",2020-04-03,"Travel-Associated (Resident)","Maui","Travel History","Travel History",2020-04-03,"Travel-Associated (Resident)",0,0,0,1,1,1
"108",2020-04-04,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-04-04,"Community-Associated",0,7,0,0,7,7
"109",2020-04-04,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-04-04,"Travel-Associated (Resident)",0,2,0,0,2,2
"110",2020-04-04,"Travel-Associated (Resident)","Kauai","Travel History","Travel History",2020-04-04,"Travel-Associated (Resident)",0,0,1,0,1,1
"111",2020-04-04,"Community-Associated","Maui","No Travel History","No Travel History",2020-04-04,"Community-Associated",0,0,0,3,3,3
"112",2020-04-04,"Travel-Associated (Non-Resident)","Maui","Travel History","Travel History",2020-04-04,"Travel-Associated (Non-Resident)",0,0,0,2,2,2
"113",2020-04-04,"Travel-Associated (Resident)","Maui","Travel History","Travel History",2020-04-04,"Travel-Associated (Resident)",0,0,0,1,1,1
"114",2020-04-05,"Travel-Associated (Resident)","Hawaii","Travel History","Travel History",2020-04-05,"Travel-Associated (Resident)",1,0,0,0,1,1
"115",2020-04-05,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-04-05,"Community-Associated",0,5,0,0,5,5
"116",2020-04-05,"Travel-Associated (Non-Resident)","Honolulu","Travel History","Travel History",2020-04-05,"Travel-Associated (Non-Resident)",0,1,0,0,1,1
"117",2020-04-05,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-04-05,"Travel-Associated (Resident)",0,6,0,0,6,6
"118",2020-04-05,"Community-Associated","Kauai","No Travel History","No Travel History",2020-04-05,"Community-Associated",0,0,1,0,1,1
"119",2020-04-05,"Community-Associated","Maui","No Travel History","No Travel History",2020-04-05,"Community-Associated",0,0,0,3,3,3
"120",2020-04-05,"Travel-Associated (Resident)","Maui","Travel History","Travel History",2020-04-05,"Travel-Associated (Resident)",0,0,0,1,1,1
"121",2020-04-06,"Community-Associated","Hawaii","No Travel History","No Travel History",2020-04-06,"Community-Associated",1,0,0,0,1,1
"122",2020-04-06,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-04-06,"Community-Associated",0,9,0,0,9,9
"123",2020-04-06,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-04-06,"Travel-Associated (Resident)",0,7,0,0,7,7
"124",2020-04-06,"Travel-Associated (Non-Resident)","Kauai","Travel History","Travel History",2020-04-06,"Travel-Associated (Non-Resident)",0,0,1,0,1,1
"125",2020-04-06,"Community-Associated","Maui","No Travel History","No Travel History",2020-04-06,"Community-Associated",0,0,0,3,3,3
"126",2020-04-06,"Travel-Associated (Resident)","Maui","Travel History","Travel History",2020-04-06,"Travel-Associated (Resident)",0,0,0,1,1,1
"127",2020-04-07,"Community-Associated","Hawaii","No Travel History","No Travel History",2020-04-07,"Community-Associated",1,0,0,0,1,1
"128",2020-04-07,"Travel-Associated (Resident)","Hawaii","Travel History","Travel History",2020-04-07,"Travel-Associated (Resident)",2,0,0,0,2,2
"129",2020-04-07,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-04-07,"Community-Associated",0,8,0,0,8,8
"130",2020-04-07,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-04-07,"Travel-Associated (Resident)",0,3,0,0,3,3
"131",2020-04-07,"Travel-Associated (Resident)","Kauai","Travel History","Travel History",2020-04-07,"Travel-Associated (Resident)",0,0,1,0,1,1
"132",2020-04-07,"Community-Associated","Maui","No Travel History","No Travel History",2020-04-07,"Community-Associated",0,0,0,5,5,5
"133",2020-04-07,"Travel-Associated (Non-Resident)","Maui","Travel History","Travel History",2020-04-07,"Travel-Associated (Non-Resident)",0,0,0,1,1,1
"134",2020-04-08,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-04-08,"Community-Associated",0,3,0,0,3,3
"135",2020-04-08,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-04-08,"Travel-Associated (Resident)",0,4,0,0,4,4
"136",2020-04-08,"Community-Associated","Maui","No Travel History","No Travel History",2020-04-08,"Community-Associated",0,0,0,2,2,2
"137",2020-04-09,"Community-Associated","Hawaii","No Travel History","No Travel History",2020-04-09,"Community-Associated",1,0,0,0,1,1
"138",2020-04-09,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-04-09,"Community-Associated",0,1,0,0,1,1
"139",2020-04-09,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-04-09,"Travel-Associated (Resident)",0,3,0,0,3,3
"140",2020-04-09,"Community-Associated","Maui","No Travel History","No Travel History",2020-04-09,"Community-Associated",0,0,0,4,4,4
"141",2020-04-09,"Travel-Associated (Non-Resident)","Maui","Travel History","Travel History",2020-04-09,"Travel-Associated (Non-Resident)",0,0,0,1,1,1
"142",2020-04-09,"Travel-Associated (Resident)","Maui","Travel History","Travel History",2020-04-09,"Travel-Associated (Resident)",0,0,0,1,1,1
"143",2020-04-10,"Community-Associated","Hawaii","No Travel History","No Travel History",2020-04-10,"Community-Associated",3,0,0,0,3,3
"144",2020-04-10,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-04-10,"Community-Associated",0,2,0,0,2,2
"145",2020-04-10,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-04-10,"Travel-Associated (Resident)",0,3,0,0,3,3
"146",2020-04-10,"Community-Associated","Maui","No Travel History","No Travel History",2020-04-10,"Community-Associated",0,0,0,11,11,11
"147",2020-04-10,"Travel-Associated (Non-Resident)","Maui","Travel History","Travel History",2020-04-10,"Travel-Associated (Non-Resident)",0,0,0,1,1,1
"148",2020-04-11,"Community-Associated","Hawaii","No Travel History","No Travel History",2020-04-11,"Community-Associated",5,0,0,0,5,5
"149",2020-04-11,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-04-11,"Community-Associated",0,3,0,0,3,3
"150",2020-04-11,"Travel-Associated (Resident)","Kauai","Travel History","Travel History",2020-04-11,"Travel-Associated (Resident)",0,0,2,0,2,2
"151",2020-04-11,"Community-Associated","Maui","No Travel History","No Travel History",2020-04-11,"Community-Associated",0,0,0,4,4,4
"152",2020-04-12,"Community-Associated","Hawaii","No Travel History","No Travel History",2020-04-12,"Community-Associated",1,0,0,0,1,1
"153",2020-04-12,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-04-12,"Community-Associated",0,1,0,0,1,1
"154",2020-04-12,"Community-Associated","Maui","No Travel History","No Travel History",2020-04-12,"Community-Associated",0,0,0,2,2,2
"155",2020-04-13,"Community-Associated","Hawaii","No Travel History","No Travel History",2020-04-13,"Community-Associated",1,0,0,0,1,1
"156",2020-04-13,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-04-13,"Community-Associated",0,4,0,0,4,4
"157",2020-04-13,"Community-Associated","Maui","No Travel History","No Travel History",2020-04-13,"Community-Associated",0,0,0,1,1,1
"158",2020-04-14,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-04-14,"Community-Associated",0,6,0,0,6,6
"159",2020-04-14,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-04-14,"Travel-Associated (Resident)",0,3,0,0,3,3
"160",2020-04-14,"Community-Associated","Maui","No Travel History","No Travel History",2020-04-14,"Community-Associated",0,0,0,1,1,1
"161",2020-04-14,"Travel-Associated (Non-Resident)","Maui","Travel History","Travel History",2020-04-14,"Travel-Associated (Non-Resident)",0,0,0,1,1,1
"162",2020-04-15,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-04-15,"Community-Associated",0,4,0,0,4,4
"163",2020-04-15,"Travel-Associated (Non-Resident)","Honolulu","Travel History","Travel History",2020-04-15,"Travel-Associated (Non-Resident)",0,1,0,0,1,1
"164",2020-04-15,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-04-15,"Travel-Associated (Resident)",0,1,0,0,1,1
"165",2020-04-15,"Community-Associated","Maui","No Travel History","No Travel History",2020-04-15,"Community-Associated",0,0,0,5,5,5
"166",2020-04-16,"Community-Associated","Hawaii","No Travel History","No Travel History",2020-04-16,"Community-Associated",3,0,0,0,3,3
"167",2020-04-16,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-04-16,"Travel-Associated (Resident)",0,4,0,0,4,4
"168",2020-04-16,"Community-Associated","Maui","No Travel History","No Travel History",2020-04-16,"Community-Associated",0,0,0,2,2,2
"169",2020-04-17,"Community-Associated","Hawaii","No Travel History","No Travel History",2020-04-17,"Community-Associated",15,0,0,0,15,15
"170",2020-04-17,"Travel-Associated (Resident)","Hawaii","Travel History","Travel History",2020-04-17,"Travel-Associated (Resident)",1,0,0,0,1,1
"171",2020-04-17,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-04-17,"Community-Associated",0,1,0,0,1,1
"172",2020-04-17,"Community-Associated","Maui","No Travel History","No Travel History",2020-04-17,"Community-Associated",0,0,0,3,3,3
"173",2020-04-18,"Community-Associated","Hawaii","No Travel History","No Travel History",2020-04-18,"Community-Associated",2,0,0,0,2,2
"174",2020-04-18,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-04-18,"Community-Associated",0,3,0,0,3,3
"175",2020-04-18,"Community-Associated","Maui","No Travel History","No Travel History",2020-04-18,"Community-Associated",0,0,0,3,3,3
"176",2020-04-19,"Community-Associated","Hawaii","No Travel History","No Travel History",2020-04-19,"Community-Associated",2,0,0,0,2,2
"177",2020-04-19,"Community-Associated","Maui","No Travel History","No Travel History",2020-04-19,"Community-Associated",0,0,0,2,2,2
"178",2020-04-20,"Travel-Associated (Resident)","Hawaii","Travel History","Travel History",2020-04-20,"Travel-Associated (Resident)",1,0,0,0,1,1
